,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
7489,Пупсы,128606477,3,6672,6471,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/128606477/detail.aspx?targetUrl=BP
7490,Классические куклы,128562422,3,6672,6471,Bob Young,4726161,0,0,https://www.wildberries.ru/catalog/128562422/detail.aspx?targetUrl=BP
7491,Коллекционные куклы,131227803,3,6672,6471,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227803/detail.aspx?targetUrl=BP
7492,Коллекционные куклы,128606603,3,6672,6471,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/128606603/detail.aspx?targetUrl=BP
7493,Пупсы,128561272,3,6672,6471,Bob Young,4726161,0,0,https://www.wildberries.ru/catalog/128561272/detail.aspx?targetUrl=BP
7494,Коллекционные куклы,128561077,3,6672,6471,Bob Young,4726161,0,0,https://www.wildberries.ru/catalog/128561077/detail.aspx?targetUrl=BP
7495,Коллекционные куклы,128311938,3,6672,6471,Дары маркет,81544364,0,0,https://www.wildberries.ru/catalog/128311938/detail.aspx?targetUrl=BP
7496,Классические куклы,131228028,3,6672,6471,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131228028/detail.aspx?targetUrl=BP
7497,Классические куклы,128606761,3,6672,6471,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/128606761/detail.aspx?targetUrl=BP
7498,Классические куклы,131149572,3,6672,6471,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149572/detail.aspx?targetUrl=BP
7499,Коллекционные куклы,131227779,3,6672,6471,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227779/detail.aspx?targetUrl=BP
